                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 2.7543,                 5.0239,                 2.4782,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 2.0205,                 4.9763,                 2.1967,                      0,                      0,                      0,                      0,                 3.6824,                 6.0416,                 3.1666,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.4682,                 4.9508,                   2.56,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 2.7302,                 5.0497,                 2.6108,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.3115,                 5.1148,                 2.3744,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                  2.233,                 4.9669,                  2.364,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.4344,                 5.0988,                 2.4194,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.6881,                 5.0713,                 2.6006,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.1587,                 4.9394,                 2.2317,                      0,                      0,                      0,                      0,                 3.7135,                 6.0726,                 3.1824,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.8777,                 5.5447,                 2.7374,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.6959,                  5.407,                 2.7774,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.7731,                 5.5343,                 2.7217,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 3.0821,                 5.9533,                 2.8515,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                  2.495,                 5.2646,                 2.8285,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.6578,                 5.3031,                 2.7483,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.5467,                 5.2745,                 2.6395,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.7696,                 5.2008,                 2.9952,                      0,                      0,                      0,                      0,                 3.7244,                 6.0633,                 3.1802,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.8916,                 5.6847,                 2.8709,                      0,                      0,                      0,                      0,                 3.7766,                  6.056,                 3.2086,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                  2.603,                 5.3401,                 2.8938,                      0,                      0,                      0,                      0,                 3.7766,                  6.056,                 3.2086,             2.3444e-06,             2.3444e-06,             2.3444e-06
